"x1","x2","x3","x4"
2.0,10.0,0.2988759634438582,8.999e-5
3.0,10.0,0.22503688680211814,3.1823e-5
4.0,10.0,0.18189819902208998,2.3637e-5
5.0,10.0,0.13983692062605974,2.3842e-5
6.0,10.0,0.13149836889241534,2.7491e-5
7.0,10.0,0.11825006903832072,3.8101e-5
8.0,10.0,0.10321735055441769,3.2128e-5
9.0,10.0,0.11329154993531858,3.7819e-5
10.0,10.0,0.09612603826349317,4.9768e-5
11.0,10.0,0.09697512740999152,5.2828e-5
16.0,10.0,0.07487526341229142,5.9772e-5
32.0,10.0,0.04545794822355096,0.000176691
64.0,10.0,0.04051664413076371,0.00048772
2.0,100.0,0.2871673562384395,0.000289022
3.0,100.0,0.22346318218371816,0.000320052
4.0,100.0,0.1800982490732657,0.000396763
5.0,100.0,0.15936779730580913,0.000550184
6.0,100.0,0.14264236145190165,0.000626696
7.0,100.0,0.13199742690478034,0.000731395
8.0,100.0,0.12332111397778021,0.000886213
9.0,100.0,0.11668512587141891,0.00112187
10.0,100.0,0.10882028113472066,0.001267447
11.0,100.0,0.1045387368791726,0.004563044
16.0,100.0,0.08709454707550403,0.001670643
32.0,100.0,0.07058502002148465,0.005660881
64.0,100.0,0.0554530243725005,0.016271952
2.0,1000.0,0.2941425549298008,0.00223717
3.0,1000.0,0.22514931369875615,0.006567841
4.0,1000.0,0.18607267963345056,0.007756778
5.0,1000.0,0.16575311547051155,0.010487228
6.0,1000.0,0.148254876519951,0.015386575
7.0,1000.0,0.1371738950477276,0.016707324
8.0,1000.0,0.12798060637276748,0.018518744
9.0,1000.0,0.12259979479740093,0.020188925
10.0,1000.0,0.11595671709341032,0.0227253
11.0,1000.0,0.11214970570421649,0.025877519
16.0,1000.0,0.0965312444729174,0.037798563
32.0,1000.0,0.07668759682319504,0.106559591
64.0,1000.0,0.06278782139355574,0.287180929
2.0,10000.0,0.2949127967052139,0.026408779
3.0,10000.0,0.22337015827640838,0.055467915
4.0,10000.0,0.1890845853084026,0.082586009
5.0,10000.0,0.16607869114570875,0.119566215
6.0,10000.0,0.15124617880424843,0.153783515
7.0,10000.0,0.14004642296637435,0.193750941
8.0,10000.0,0.13083773929655673,0.225986313
9.0,10000.0,0.12415994022839594,0.27540808
10.0,10000.0,0.11969402563257547,0.318408271
11.0,10000.0,0.11448034213360515,0.378583122
16.0,10000.0,0.0983124290193114,0.60458306
32.0,10000.0,0.07832688625210076,1.802222537
64.0,10000.0,0.06472959173150061,5.026785615
2.0,100000.0,0.2945667302178559,0.337666166
3.0,100000.0,0.22464966643060855,0.721915084
4.0,100000.0,0.18869855057957044,1.118842136
5.0,100000.0,0.16696712307614103,1.619550995
6.0,100000.0,0.15165275786337146,2.078552939
7.0,100000.0,0.14066948444600708,2.512637753
8.0,100000.0,0.1320873065934469,2.114604957
9.0,100000.0,0.1253488539650864,2.586328303
10.0,100000.0,0.11969789480041107,2.997175453
11.0,100000.0,0.11501371333361711,4.581867079
16.0,100000.0,0.0995709496942551,5.859367572
32.0,100000.0,0.0791043326171714,18.419723635
64.0,100000.0,0.06562333514636547,86.097023431
