run [pow 10]	solution val	
399	0.219445	
400	0.219561	
401	0.219472	
402	0.219427	
403	0.219318	
404	0.21929	
405	0.219458	
406	0.219438	
407	0.219407	
408	0.219417	
409	0.219361	
410	0.219326	
411	0.219453	
412	0.21946	
413	0.219372	
414	0.219401	
415	0.219447	
416	0.219364	
417	0.219461	
418	0.219465	
419	0.219566	
420	0.219442	
421	0.219369	
422	0.219298	
423	0.219228	
424	0.219168	
425	0.219125	
426	0.219097	
427	0.219269	
428	0.219391	
429	0.219338	
430	0.21932	
431	0.219557	
432	0.219492	
433	0.21944	
434	0.219725	
435	0.219619	
436	0.219666	
437	0.219626	
438	0.219719	
439	0.219764	
440	0.219683	
441	0.219794	
442	0.219847	
443	0.220068	
444	0.220136	
445	0.220372	
446	0.220567	
447	0.220537	
448	0.220573	
449	0.220507	
450	0.220616	
451	0.220615	
452	0.220569	
453	0.220489	
454	0.220437	
455	0.220409	
456	0.220397	
457	0.220338	
458	0.220292	
459	0.220252	
460	0.220186	
461	0.220418	
462	0.220395	
463	0.220283	
464	0.22047	
465	0.2205	
466	0.220439	
467	0.220328	
468	0.220221	
469	0.220111	
470	0.220187	
471	0.220472	
472	0.220498	
473	0.220526	
474	0.220419	
475	0.220342	
476	0.220304	
477	0.220248	
478	0.22025	
479	0.220395	
480	0.220385	
481	0.220325	
482	0.22024	
483	0.220129	
484	0.220075	
485	0.219986	
486	0.220006	
487	0.220089	
488	0.220008	
489	0.219937	
490	0.219964	
491	0.21998	
492	0.2199	
493	0.219954	
494	0.219943	
495	0.2199	
496	0.219789	
497	0.219717	
498	0.2199	
499	0.219985	
500	0.219963	
501	0.219928	
502	0.219883	
503	0.219778	
504	0.219712	
505	0.21962	
506	0.219614	
507	0.219582	
508	0.219714	
509	0.2197	
510	0.219704	
511	0.219601	
512	0.21964	
513	0.219601	
514	0.219584	
515	0.219489	
516	0.219395	
517	0.21934	
518	0.219429	
519	0.219403	
520	0.219314	
521	0.219247	
522	0.219322	
523	0.219298	
524	0.219469	
525	0.219496	
526	0.219618	
527	0.219701	
